,city,date,latitude,Longitutude,maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
323,Usinsk,1605903379,65.99,57.53,275.52,92,100,11.9,RU,1605903379
324,Norfolk,1605902607,42.17,-71.25,292.15,29,1,6.2,US,1605902607
325,Kutum,1605903381,14.2,24.67,292.84,27,0,4.99,SD,1605903381
326,Marzuq,1605903383,14.4,46.47,288.68,36,0,0.99,YE,1605903383
327,Lerwick,1605903384,60.15,-1.15,283.15,100,75,12.3,GB,1605903384
328,Bambous Virieux,1605903385,-20.34,57.76,295.37,94,20,3.1,MU,1605903385
329,Vung Tau,1605903374,10.35,107.08,299.97,80,53,6.14,VN,1605903374
330,Gamba,1605903387,-2.65,10.0,298.78,85,100,3.36,GA,1605903387
331,Port Elizabeth,1605903343,-33.92,25.57,291.15,82,0,5.1,ZA,1605903343
332,Nicoya,1605903390,10.15,-85.45,304.15,66,40,3.1,CR,1605903390
333,Mossamedes,1605903391,-15.2,12.15,293.86,71,18,6.48,AO,1605903391
334,Kaz,1605903392,52.91,87.31,266.2,96,100,2.26,RU,1605903392
335,Darłowo,1605903393,54.42,16.41,276.48,83,1,5.16,PL,1605903393
336,San Rafael,1605903394,-34.62,-68.33,300.15,28,40,5.1,AR,1605903394
337,Atasū,1605903396,48.68,71.64,257.83,86,0,2.35,KZ,1605903396
338,Raja,1605903397,8.46,25.68,302.74,26,95,2.4,SS,1605903397
339,Tanete,1605903398,-3.94,119.78,297.73,89,96,0.48,ID,1605903398
340,Aras,1605903399,42.56,-2.36,281.48,81,0,3.1,ES,1605903399
341,Deer Lake,1605903367,49.17,-57.43,273.15,92,90,1.5,CA,1605903367
342,Oktyabr'skoye,1605903292,43.06,44.74,276.15,86,82,3.0,RU,1605903292
343,Guaxupé,1605903403,-21.31,-46.71,296.61,62,2,2.45,BR,1605903403
344,Port Hedland,1605903404,-20.32,118.57,297.15,88,0,1.5,AU,1605903404
345,Vao,1605903405,-22.67,167.48,295.19,77,0,7.33,NC,1605903405
346,Banikoara,1605903406,11.3,2.44,297.52,26,93,2.02,BJ,1605903406
347,Balkanabat,1605903407,39.51,54.37,275.82,59,100,8.69,TM,1605903407
348,Kwekwe,1605903408,-18.93,29.81,294.37,70,2,6.11,ZW,1605903408
349,Tilichiki,1605903260,60.47,166.1,253.64,95,42,3.24,RU,1605903260
350,Iturama,1605903411,-19.73,-50.2,302.44,37,0,4.41,BR,1605903411
351,Morehead,1605903412,37.27,-87.18,295.15,43,1,4.1,US,1605903412
352,Wakkanai,1605903413,45.41,141.67,274.56,88,100,10.14,JP,1605903413
353,Russell,1605903414,32.35,-85.2,296.15,46,75,1.97,US,1605903414
354,Nome,1605903240,64.5,-165.41,271.15,68,75,9.3,US,1605903240
355,Vryburg,1605903417,-26.96,24.73,294.56,51,95,7.77,ZA,1605903417
356,Puerto Rico,1605903418,-26.8,-55.02,300.72,33,54,2.17,AR,1605903418
357,Glyadyanskoye,1605903419,54.91,65.09,265.91,93,0,5.38,RU,1605903419
358,Souillac,1605903189,-20.52,57.52,294.15,94,20,3.1,MU,1605903189
359,La Rioja,1605903421,42.25,-2.5,281.48,81,0,3.1,ES,1605903421
360,Muhafazat Lahij,1605903423,13.17,44.58,293.88,69,0,0.89,YE,1605903423
361,Saint George,1605903130,37.1,-113.58,290.37,28,1,0.85,US,1605903130
362,Flin Flon,1605903303,54.77,-101.86,260.15,78,40,3.1,CA,1605903303
363,Raudeberg,1605903426,61.99,5.14,277.15,69,75,12.3,NO,1605903426
364,Pampa,1605903220,35.54,-100.96,291.15,31,1,7.2,US,1605903220
365,East London,1605903346,-33.02,27.91,292.44,78,45,8.5,ZA,1605903346
366,Nevel'sk,1605903430,46.67,141.86,272.15,68,75,3.0,RU,1605903430
367,Manzanillo,1605903431,20.34,-77.12,300.48,79,93,6.55,CU,1605903431
368,Governador Valadares,1605903432,-18.85,-41.95,298.53,86,58,3.63,BR,1605903432
369,Tibiao,1605903433,11.29,122.04,299.81,76,35,2.15,PH,1605903433
370,Carbonia,1605903434,39.17,8.52,286.15,76,20,6.7,IT,1605903434
371,Trincomalee,1605903435,8.57,81.23,300.74,78,100,5.77,LK,1605903435
372,College,1605903437,64.86,-147.8,255.37,68,20,1.5,US,1605903437
373,Krasnosel'kup,1605903438,65.7,82.47,273.22,97,100,9.75,RU,1605903438
374,Meulaboh,1605903213,4.14,96.13,297.9,91,100,2.6,ID,1605903213
375,Pontianak,1605903265,-0.03,109.33,298.23,90,100,0.8,ID,1605903265
376,Coyhaique,1605903441,-45.58,-72.07,296.15,28,20,11.8,CL,1605903441
377,Kalabo,1605903442,-14.97,22.68,296.77,67,100,2.35,ZM,1605903442
378,Jalingo,1605903444,8.88,11.37,300.06,31,89,1.35,NG,1605903444
379,Kiruna,1605903325,67.86,20.23,269.15,79,24,3.1,SE,1605903325
380,Asău,1605903446,46.43,26.4,275.37,5,100,3.71,RO,1605903446
381,Kyshtovka,1605903447,56.55,76.63,268.37,94,100,7.33,RU,1605903447
382,Baiyin,1605903448,36.56,104.21,271.48,73,90,5.0,CN,1605903448
383,Sampit,1605903449,-2.53,112.95,297.13,96,100,0.61,ID,1605903449
384,Renukoot,1605903451,24.2,83.03,290.67,60,0,1.51,IN,1605903451
385,Cap Malheureux,1605903207,-19.98,57.61,295.37,78,36,0.89,MU,1605903207
386,Baghlan,1605903453,36.13,68.71,274.21,85,0,0.95,AF,1605903453
387,Beloha,1605903454,-25.17,45.05,294.09,91,3,2.26,MG,1605903454
388,Carandaí,1605903455,-20.95,-43.81,295.15,68,75,3.6,BR,1605903455
389,Moose Factory,1605903231,51.26,-80.61,270.15,73,90,3.6,CA,1605903231
390,Manggar,1605903458,-2.88,108.27,299.38,84,100,1.97,ID,1605903458
391,Price,1605903459,39.6,-110.81,284.15,32,1,2.6,US,1605903459
392,Byron Bay,1605903317,-28.65,153.62,292.04,93,13,2.83,AU,1605903317
393,Rabat,1605903461,33.99,-6.84,292.59,71,99,2.6,MA,1605903461
394,Tweed,1605903462,44.48,-77.32,288.15,57,67,6.26,CA,1605903462
395,Aizawl,1605903463,23.73,92.72,284.54,85,0,1.06,IN,1605903463
396,Broager,1605903465,54.89,9.68,277.15,86,100,2.6,DK,1605903465
397,Göksun,1605903466,38.02,36.5,282.15,100,75,1.0,TR,1605903466
398,Bethel,1605903381,41.37,-73.41,289.15,54,1,3.1,US,1605903381
399,Kavieng,1605903468,-2.57,150.8,301.33,78,100,7.8,PG,1605903468
400,Aksarka,1605903469,66.56,67.8,275.63,82,84,12.28,RU,1605903469
401,Lüderitz,1605903207,-26.65,15.16,289.63,88,5,1.56,NA,1605903207
402,Orlik,1605903471,52.52,99.83,249.9,79,26,1.58,RU,1605903471
403,Faanui,1605903473,-16.48,-151.75,299.42,72,59,3.08,PF,1605903473
404,Likasi,1605903474,-10.98,26.73,290.21,94,100,1.16,CD,1605903474
405,Constitución,1605903288,-35.33,-72.42,288.28,63,15,3.8,CL,1605903288
406,Viedma,1605903476,-40.81,-63.0,305.93,21,78,4.02,AR,1605903476
407,Mogadishu,1605903256,2.04,45.34,299.65,79,0,6.43,SO,1605903256
408,Xining,1605903478,36.62,101.77,267.47,93,100,1.36,CN,1605903478
409,Mahajanga,1605903480,-15.72,46.32,301.15,74,20,2.6,MG,1605903480
410,Steinbach am Taunus,1605903398,50.17,8.57,278.71,93,0,1.0,DE,1605903398
411,Gizo Government Station,1605903482,-8.1,156.84,299.86,79,94,7.16,SB,1605903482
412,Waingapu,1605903483,-9.66,120.26,299.79,79,87,2.77,ID,1605903483
413,Askino,1605903484,56.09,56.58,265.61,93,89,6.21,RU,1605903484
414,Luga,1605903485,58.74,29.85,274.75,88,50,3.89,RU,1605903485
415,Malindi,1605903487,-3.22,40.12,301.15,78,40,2.1,KE,1605903487
416,Virginia Beach,1605903462,36.85,-75.98,295.15,37,1,5.1,US,1605903462
417,Akdepe,1605903489,42.06,59.38,265.15,57,0,4.1,TM,1605903489
418,The Hammocks,1605903490,25.67,-80.44,299.26,74,75,7.7,US,1605903490
419,Aquiraz,1605903491,-3.9,-38.39,302.15,70,20,5.7,BR,1605903491
420,Farnes,1605903492,61.32,7.8,270.15,79,0,7.7,NO,1605903492
421,Nizhniy Chir,1605903494,48.36,43.09,270.31,91,92,8.95,RU,1605903494
422,Marsh Harbour,1605903222,26.54,-77.06,297.82,75,46,11.19,BS,1605903222
423,Balabac,1605903496,7.99,117.06,300.94,81,100,5.33,PH,1605903496
424,Kedrovyy,1605903497,56.17,91.82,268.15,67,0,2.0,RU,1605903497
425,Toamasina,1605903498,-18.17,49.38,297.15,83,75,2.1,MG,1605903498
426,Emerald,1605903499,-23.53,148.17,294.26,88,43,2.1,AU,1605903499
427,Poum,1605903501,-20.23,164.02,297.31,72,100,5.68,NC,1605903501
428,Mana,1605903502,5.66,-53.78,299.72,85,92,4.12,GF,1605903502
429,San Joaquin,1605903503,37.93,-121.3,288.15,47,1,2.6,US,1605903503
430,Gobabis,1605903504,-22.45,18.97,296.93,58,94,8.89,NA,1605903504
431,Sobolevo,1605903505,54.43,31.9,272.79,95,100,2.41,RU,1605903505
432,Popondetta,1605903506,-8.75,148.25,296.24,87,66,1.18,PG,1605903506
433,Gospić,1605903508,44.55,15.37,282.15,42,20,10.3,HR,1605903508
434,Comodoro Rivadavia,1605903509,-45.87,-67.5,302.15,23,0,7.7,AR,1605903509
435,Oliva,1605903510,38.92,-0.12,285.37,7,0,0.45,ES,1605903510
436,San Quintín,1605903511,30.48,-115.95,295.12,58,16,5.35,MX,1605903511
437,Chhātāpur,1605903512,26.22,87.02,294.08,58,82,2.03,IN,1605903512
438,West Bay,1605903513,19.37,-81.42,302.15,74,75,8.7,KY,1605903513
439,Broken Hill,1605903515,-31.95,141.43,297.15,22,81,3.1,AU,1605903515
440,Łańcut,1605903496,50.07,22.23,274.15,80,40,3.6,PL,1605903496
441,Manta,1605903517,-0.95,-80.73,300.15,65,0,8.2,EC,1605903517
442,Sfântu Gheorghe,1605903518,45.87,25.78,268.15,96,100,5.36,RO,1605903518
443,Vallenar,1605903519,-28.57,-70.76,299.28,20,0,4.78,CL,1605903519
444,Peterhead,1605903520,57.51,-1.8,285.15,81,100,7.7,GB,1605903520
445,Great Bend,1605903522,38.36,-98.76,290.93,41,1,7.7,US,1605903522
446,Roald,1605903523,62.58,6.13,277.15,64,0,6.7,NO,1605903523
447,Pandan,1605903524,14.05,124.17,300.1,85,82,6.75,PH,1605903524
448,Severnyy,1605903525,50.68,36.55,270.15,86,75,5.0,RU,1605903525
449,Cayenne,1605903526,4.93,-52.33,301.15,83,81,2.6,GF,1605903526
450,Halifax,1605903355,44.65,-63.57,284.26,76,100,4.6,CA,1605903355
451,High Level,1605903529,58.52,-117.14,254.15,91,20,1.13,CA,1605903529
452,Naliya,1605903530,23.27,68.83,295.52,24,20,2.85,IN,1605903530
453,Newport,1605903531,51.59,-3.0,284.26,92,96,0.45,GB,1605903531
454,Shymkent,1605903532,42.3,69.6,267.15,62,40,1.0,KZ,1605903532
455,Bonavista,1605903533,48.65,-53.11,278.15,93,100,2.6,CA,1605903533
456,Barcelos,1605903534,41.54,-8.62,288.71,71,0,3.1,PT,1605903534
457,Nizhniy Tsasuchey,1605903536,50.52,115.13,260.61,86,26,4.22,RU,1605903536
458,Xinzhou,1605903537,38.41,112.73,273.9,94,100,0.82,CN,1605903537
459,Riyadh,1605903442,24.69,46.72,296.15,35,0,3.1,SA,1605903442
460,Vardø,1605903539,70.37,31.11,271.15,86,20,5.1,NO,1605903539
461,Shakawe,1605903540,-18.37,21.85,296.19,75,100,1.71,BW,1605903540
462,Alofi,1605903541,-19.06,-169.92,300.15,83,100,4.1,NU,1605903541
463,Kozel'sk,1605903543,54.04,35.77,272.15,100,100,3.0,RU,1605903543
464,Filingué,1605903544,14.35,3.32,299.34,17,42,3.24,NE,1605903544
465,Oruzgan,1605903545,32.83,66.0,275.25,76,0,0.42,AF,1605903545
466,Itarema,1605903546,-2.92,-39.92,300.86,72,62,6.07,BR,1605903546
467,Deputatsky,1605903547,69.3,139.9,249.56,90,84,2.09,RU,1605903547
468,Hualmay,1605903548,-11.1,-77.61,294.61,63,100,6.08,PE,1605903548
469,Mandalgovi,1605903550,45.76,106.27,257.64,82,64,4.6,MN,1605903550
470,Ejea de los Caballeros,1605903551,42.13,-1.14,282.15,45,1,8.2,ES,1605903551
471,Lensk,1605903552,60.73,114.93,259.29,91,100,5.59,RU,1605903552
472,Nizwá,1605903553,22.93,57.53,291.36,63,0,1.06,OM,1605903553
473,Dwārka,1605903554,22.24,68.97,298.2,40,100,6.7,IN,1605903554
474,La Ronge,1605903555,55.1,-105.28,262.15,72,99,3.1,CA,1605903555
475,Bogatynia,1605903557,50.91,14.96,273.15,91,19,1.41,PL,1605903557
476,Atessa,1605903558,42.07,14.45,280.93,99,100,1.34,IT,1605903558
477,Yanam,1605903559,16.73,82.22,295.61,80,71,1.27,IN,1605903559
478,Priargunsk,1605903560,50.37,119.1,256.72,89,0,3.97,RU,1605903560
479,Tataouine,1605903561,32.93,10.45,289.15,55,5,2.1,TN,1605903561
480,El Jícaro,1605903562,14.92,-89.9,305.15,52,20,2.1,GT,1605903562
481,Port Blair,1605903275,11.67,92.75,299.64,84,100,3.53,IN,1605903275
482,Augustów,1605903266,53.84,22.98,275.23,82,38,4.56,PL,1605903266
483,Palmer,1605903566,42.16,-72.33,289.15,36,40,3.1,US,1605903566
484,Bambanglipuro,1605903567,-7.95,110.28,298.72,86,53,1.1,ID,1605903567
485,Keuruu,1605903568,62.27,24.7,273.71,94,90,3.1,FI,1605903568
486,Aquin,1605903570,18.28,-73.4,300.74,73,58,0.05,HT,1605903570
487,Yaan,1605903571,7.38,8.57,300.06,33,98,0.7,NG,1605903571
488,Tall Kayf,1605903572,37.08,41.07,286.44,60,100,2.55,TR,1605903572
489,Tokur,1605903573,53.13,132.9,259.9,92,100,1.58,RU,1605903573
490,Sitka,1605903574,57.05,-135.33,276.15,74,90,2.6,US,1605903574
491,Tubinskiy,1605903575,52.89,58.22,263.15,36,0,2.0,RU,1605903575
492,Petropavlovskoye,1605903577,52.07,84.11,266.42,91,100,1.42,RU,1605903577
493,Semīrom,1605903578,31.42,51.57,277.07,86,35,2.09,IR,1605903578
494,Kosonsoy,1605903579,41.26,71.55,269.15,62,14,1.0,UZ,1605903579
495,Malatya Province,1605903580,38.5,38.0,279.15,87,90,1.26,TR,1605903580
496,Saskatoon,1605902925,52.12,-106.63,260.93,77,20,4.6,CA,1605902925
497,Kamina,1605903582,-8.74,24.99,291.64,94,96,1.44,CD,1605903582
498,Hobyo,1605903583,5.35,48.53,299.44,72,77,5.77,SO,1605903583
499,Praia,1605903326,14.92,-23.51,300.15,61,75,5.1,CV,1605903326
500,Osmeña,1605903586,10.52,119.93,301.15,81,100,5.52,PH,1605903586
501,Bara,1605903587,10.37,10.73,298.15,29,3,2.99,NG,1605903587
502,Rio Grande,1605903513,-32.03,-52.1,296.15,53,75,8.7,BR,1605903513
503,Launceston,1605903589,-41.45,147.17,283.71,76,100,3.6,AU,1605903589
504,Thinadhoo,1605903590,0.53,72.93,300.84,74,26,2.1,MV,1605903590
505,Airai,1605903591,-8.93,125.41,289.15,98,71,1.01,TL,1605903591
506,Marion,1605903579,39.77,-86.16,291.48,52,40,5.1,US,1605903579
507,Kenai,1605903594,60.55,-151.26,271.48,68,90,7.2,US,1605903594
508,Fort Frances,1605903595,48.6,-93.4,268.71,62,90,7.2,CA,1605903595
509,Pundaguitan,1605903596,6.37,126.17,301.25,77,78,3.4,PH,1605903596
510,Maningrida,1605903597,-12.07,134.27,299.45,79,96,2.61,AU,1605903597
511,Neiafu,1605903598,-18.65,-173.98,299.15,88,75,4.1,TO,1605903598
512,Sinnamary,1605903600,5.38,-52.95,300.45,75,11,4.71,GF,1605903600
513,Avera,1605903601,33.19,-82.53,295.15,49,1,2.6,US,1605903601
514,San Policarpo,1605903605,12.18,125.51,300.36,83,74,3.88,PH,1605903605
515,Sindor,1605903606,62.86,51.89,274.19,91,100,6.31,RU,1605903606
516,Turbat,1605903607,26.0,63.04,291.55,26,0,7.05,PK,1605903607
517,Muisne,1605903609,0.6,-80.03,300.15,78,0,6.7,EC,1605903609
518,Mayo,1605903610,38.89,-76.51,289.26,44,1,4.1,US,1605903610
519,Port Hardy,1605903611,50.7,-127.42,280.15,87,75,4.6,CA,1605903611
520,Soyo,1605903612,-6.13,12.37,298.85,82,37,4.46,AO,1605903612
521,Ibotirama,1605903613,-12.19,-43.22,299.98,77,9,1.02,BR,1605903613
522,Pemberton,1605903614,50.32,-122.8,278.71,100,90,2.47,CA,1605903614
523,Tumen,1605903616,42.97,129.84,266.78,92,0,1.51,CN,1605903616
524,Praia,1605903617,14.92,-23.51,299.15,74,75,5.1,CV,1605903617
525,Burnie,1605903618,-41.07,145.92,285.37,84,100,2.24,AU,1605903618
526,Arras,1605903619,50.29,2.78,279.82,88,99,1.34,FR,1605903619
527,Coahuayana Viejo,1605903620,18.73,-103.68,306.15,38,5,2.6,MX,1605903620
528,Trairi,1605903621,-3.28,-39.27,300.36,74,100,4.44,BR,1605903621
529,San Francisco,1605902916,37.77,-122.42,289.82,62,75,3.6,US,1605902916
530,Iaçu,1605903624,-12.77,-40.21,303.0,54,70,2.74,BR,1605903624
531,Padang,1605903625,-0.95,100.35,298.6,79,100,2.07,ID,1605903625
532,Kamenka,1605903626,51.32,42.77,268.14,83,0,4.43,RU,1605903626
533,Chake Chake,1605903628,-5.25,39.77,299.26,84,24,4.53,TZ,1605903628
534,Verkhneyarkeyevo,1605903629,55.45,54.31,267.51,87,100,6.95,RU,1605903629
535,Waitati,1605903630,-45.75,170.57,288.35,51,100,5.28,NZ,1605903630
536,Amga,1605903631,60.9,131.96,252.09,90,100,1.3,RU,1605903631
537,Ust-Maya,1605903632,60.42,134.53,251.97,91,100,1.15,RU,1605903632
538,Sunderland,1605903548,54.9,-1.38,284.82,79,100,2.68,GB,1605903548
539,Stornoway,1605903635,58.21,-6.39,284.15,81,100,12.9,GB,1605903635
540,Vila Velha,1605903497,-20.33,-40.29,300.37,73,75,7.2,BR,1605903497
541,Tahoua,1605903637,14.89,5.27,298.15,20,0,3.1,NE,1605903637
542,Gerāsh,1605903638,27.67,54.14,287.15,54,0,1.07,IR,1605903638
543,Yulara,1605903640,-25.24,130.99,296.15,46,3,2.6,AU,1605903640
544,Nishihara,1605903641,26.18,127.76,297.15,83,75,6.2,JP,1605903641
545,Mikumi,1605903642,-7.4,36.98,295.59,90,62,0.49,TZ,1605903642
546,Weifang,1605903643,36.71,119.1,277.34,73,100,0.84,CN,1605903643
547,Les Cayes,1605903644,18.2,-73.75,301.04,72,68,1.04,HT,1605903644
548,Ancud,1605903645,-41.87,-73.82,290.93,59,40,6.7,CL,1605903645
549,Jyvaskyla,1605903647,62.24,25.72,273.71,94,75,4.1,FI,1605903647
550,Buchanan,1605903648,5.88,-10.05,298.15,94,40,3.4,LR,1605903648
551,Sept-Îles,1605903649,50.2,-66.38,272.59,86,100,1.6,CA,1605903649
552,Stadtlohn,1605903650,51.98,6.93,277.04,74,6,3.54,DE,1605903650
553,Izumo,1605903651,35.37,132.77,286.15,76,75,5.1,JP,1605903651
554,Adamovka,1605903652,51.52,59.94,264.06,89,0,3.91,RU,1605903652
555,Kitimat,1605903654,54.05,-128.65,272.59,93,100,1.37,CA,1605903654
556,Santa Catarina de Tepehuanes,1605903655,25.35,-105.73,296.07,27,0,2.25,MX,1605903655
557,Mabaruma,1605903656,8.2,-59.78,299.65,86,0,2.46,GY,1605903656
558,Belvedere Marittimo,1605903657,39.62,15.86,286.48,99,100,4.37,IT,1605903657
559,Poronaysk,1605903658,49.22,143.12,267.02,88,100,2.7,RU,1605903658
560,Sola,1605903659,-13.88,167.55,298.91,80,99,2.08,VU,1605903659
561,Reconquista,1605903660,-29.15,-59.65,301.75,29,0,1.62,AR,1605903660
562,North Platte,1605903662,41.12,-100.77,288.15,26,1,3.1,US,1605903662
